charger_id,district_id,location_name,charger_type,power_kw,install_cost_eur,install_date,status,latitude,longitude,daily_sessions_avg,avg_session_kwh,fee_per_kwh_eur,monthly_maintenance_eur,subsidy_received_eur
CH001,D001,Ba Dinh Plaza,DC_Fast,150,45000,2022-03-15,active,21.0340,105.8190,18,35.2,0.28,350,15000
CH002,D001,West Lake Parking,AC_Level2,22,8500,2022-06-01,active,21.0520,105.8230,12,18.5,0.22,120,3000
CH003,D002,Hoan Kiem Mall,DC_Fast,150,48000,2021-11-20,active,21.0285,105.8520,24,38.1,0.30,380,18000
CH004,D002,Old Quarter Hub,AC_Level2,22,9200,2022-08-10,active,21.0340,105.8490,15,16.8,0.22,130,3500
CH005,D003,Cau Giay Tech Park,DC_Fast,350,85000,2023-01-15,active,21.0310,105.7830,22,42.5,0.32,520,25000
CH006,D003,Dich Vong Station,AC_Level2,22,7800,2022-04-20,active,21.0280,105.7910,10,15.2,0.20,100,2500
CH007,D004,Saigon Center,DC_Fast,150,52000,2021-09-01,active,10.7730,106.7000,28,40.3,0.30,400,20000
CH008,D004,Ben Thanh Hub,DC_Fast,350,92000,2023-03-10,active,10.7720,106.6980,30,45.8,0.35,580,30000
CH009,D005,Phu My Hung Plaza,DC_Fast,150,46000,2022-02-28,active,10.7290,106.7190,20,36.7,0.28,360,16000
CH010,D005,Crescent Mall Station,AC_Level2,22,8800,2022-07-15,active,10.7310,106.7210,14,17.9,0.22,125,3200
CH011,D006,Binh Thanh Market,AC_Level2,22,7500,2022-09-01,active,10.8080,106.7110,11,14.3,0.20,95,2800
CH012,D007,Han River Hub,DC_Fast,150,44000,2022-05-10,active,16.0680,108.2240,16,33.5,0.26,320,14000
CH013,D007,Dragon Bridge Station,DC_Fast,350,88000,2023-06-01,active,16.0610,108.2270,19,41.2,0.30,500,28000
CH014,D008,My Khe Beach Parking,DC_Fast,150,43000,2022-01-20,active,16.0540,108.2470,21,37.8,0.28,340,15000
CH015,D009,Ngo Quyen Center,AC_Level2,22,8200,2022-10-15,active,20.8560,106.6830,9,13.8,0.20,90,2500
CH016,D010,Le Chan Plaza,AC_Level2,22,7900,2023-02-01,active,20.8440,106.6870,8,12.5,0.18,85,2200
CH017,D011,Ninh Kieu Wharf,DC_Fast,150,42000,2022-12-01,active,10.0330,105.7840,13,30.2,0.24,280,12000
CH018,D012,Thanh Khe Hub,AC_Level2,22,8000,2023-04-15,active,16.0720,108.1980,10,15.8,0.22,110,2800
CH019,D013,Thu Duc Innovation,DC_Fast,350,90000,2023-07-01,active,10.8560,106.7580,25,44.1,0.32,550,28000
CH020,D013,Hi-Tech Park Station,DC_Fast,150,47000,2022-11-10,active,10.8640,106.7920,18,35.9,0.28,350,16000
CH021,D014,Long Bien Bridge Hub,DC_Fast,150,44500,2023-01-20,active,21.0450,105.8570,15,32.8,0.26,310,14000
CH022,D014,Aeon Mall Station,AC_Level2,22,8600,2023-05-01,active,21.0380,105.8740,13,17.2,0.22,120,3000
CH023,D015,Lien Chieu Port,DC_Fast,150,43500,2022-08-15,active,16.1020,108.1530,12,31.5,0.24,290,13000
CH024,D004,District 1 Supercharger,DC_Fast,350,95000,2023-09-01,active,10.7800,106.6950,32,48.2,0.35,600,32000
CH025,D003,Cau Giay University,AC_Level2,22,7600,2023-08-01,active,21.0350,105.7850,11,14.8,0.20,95,2500
